Sample ID,station,Latitude,Longitude,eventDate,Depth,Sample type,Sample depth,Volume filtered,Acidified,δ13CVPDB (‰),Total C (µg),C Comment,δ15NAir (‰),Total N (µg),N Comment
P25,14,51.666,-147.501,2026-02-18T17:15:00+00:00,4200,POM,5,2000,no,-23.91,120.51,NA,2.95,18.66,Precision decreases for samples containing less than 20ugN
P26,14,51.666,-147.501,2026-02-18T17:15:00+00:00,4200,POM,5,2000,yes,-25.46,100.31,NA,2.39,18.05,Precision decreases for samples containing less than 20ugN
P27,15,52.667,-147.5,2026-02-19T01:30:00+00:00,4200,POM,5,2000,no,-25.2,117.32,NA,3.08,20.86,NA
P28,15,52.667,-147.5,2026-02-19T01:30:00+00:00,4200,POM,5,2000,yes,-25.63,137.77,NA,1.89,40.55,NA
P29,16,53.667,-147.5,2026-02-19T09:25:00+00:00,4200,POM,5,2000,no,-26.34,102.23,NA,1.93,30.42,NA
P30,16,53.667,-147.5,2026-02-19T09:25:00+00:00,4200,POM,5,2000,yes,-27.26,118.06,NA,1.89,41.31,NA
P31,17,54.667,-147.5,2027-02-18T17:45:00+00:00,3500,POM,5,2000,no,-26.85,346.13,NA,3.5,19.57,Precision decreases for samples containing less than 20ugN
P32,17,54.667,-147.5,2027-02-18T17:45:00+00:00,3500,POM,5,2000,yes,-25.98,102.28,NA,2.04,30.72,NA
P33,18,55.668,-147.5,2027-02-19T02:30:00+00:00,4150,POM,5,2000,no,-26.32,132.13,NA,2.27,33.9,NA
P34,18,55.668,-147.5,2027-02-19T02:30:00+00:00,4150,POM,5,2000,yes,-27,123.32,NA,2.25,18.7,Precision decreases for samples containing less than 20ugN
P35,19,56.667,-147.5,2027-02-19T10:27:00+00:00,4000,POM,5,2000,no,-26.73,130.33,NA,2.62,19.15,Precision decreases for samples containing less than 20ugN
P36,19,56.667,-147.5,2027-02-19T10:27:00+00:00,4000,POM,5,2000,yes,-28,108.56,NA,2.48,29.03,NA
P37,20,56.667,-146,2028-02-18T18:15:00+00:00,4000,POM,5,2000,no,-27.03,107.94,NA,1.26,49.39,NA
P38,20,56.667,-146,2028-02-18T18:15:00+00:00,4000,POM,5,2000,yes,-26.77,90.92,Precision decreases for samples containing less than 100ugC,1.13,44.44,NA
P39,21,56.667,-144.5,2028-02-19T01:50:00+00:00,4000,POM,5,2000,no,-27.11,135.69,NA,2.9,18.16,Precision decreases for samples containing less than 20ugN
P40,21,56.667,-144.5,2028-02-19T01:50:00+00:00,4000,POM,5,2000,yes,-27.26,129.45,NA,2.29,35.03,NA
P41,22,56.667,-143,2028-02-19T09:05:00+00:00,3800,POM,5,2000,no,-26.18,120.64,NA,3.94,17.11,Precision decreases for samples containing less than 20ugN
P42,22,56.667,-143,2028-02-19T09:05:00+00:00,3800,POM,5,2000,yes,-27.18,88.16,Precision decreases for samples containing less than 100ugC,2.67,26.16,NA
P43,23,55.667,-142.998,2001-03-18T17:23:00+00:00,3800,POM,5,2000,no,-23.96,121.14,NA,4.93,18.01,Precision decreases for samples containing less than 20ugN
P44,23,55.667,-142.998,2001-03-18T17:23:00+00:00,3800,POM,5,2000,yes,-28.29,109.49,NA,2.15,35.93,NA
P45,23,55.667,-142.998,2001-03-18T17:23:00+00:00,3800,POM,5,800,no,-26.28,52.84,Precision decreases for samples containing less than 100ugC,2.04,26.18,NA
P46,24,55.667,-144.5,2001-03-19T01:15:00+00:00,3380,POM,5,2000,no,-26.19,143.51,NA,2.4,36.08,NA
P47,24,55.667,-144.5,2001-03-19T01:15:00+00:00,3380,POM,5,2000,yes,-26.56,141.39,NA,2.4,33.62,NA
P48,25,55.667,-145.997,2001-03-19T08:30:00+00:00,4000,POM,5,2000,no,-25.8,161.72,NA,3.26,32.9,NA
P49,25,55.667,-145.997,2001-03-19T08:30:00+00:00,4000,POM,5,2000,yes,-26.23,115.2,NA,2.61,24.52,NA
P50,26,54.669,-145.986,2002-03-18T16:40:00+00:00,4120,POM,5,2000,no,-25.4,122.74,NA,2.85,26.76,NA
P51,26,54.669,-145.986,2002-03-18T16:40:00+00:00,4120,POM,5,2000,yes,-26.96,130.39,NA,2.32,19.96,Precision decreases for samples containing less than 20ugN
P52,27,53.667,-146,2002-03-19T00:50:00+00:00,4000,POM,5,2000,no,-24.82,135.04,NA,3.16,19.92,Precision decreases for samples containing less than 20ugN
P53,27,53.667,-146,2002-03-19T00:50:00+00:00,4000,POM,5,2000,yes,-25.69,118.78,NA,2.68,27.32,NA
P54,28,52.668,-146,2002-03-19T08:40:00+00:00,4000,POM,5,2000,no,-25.13,139.57,NA,3.21,25.31,NA
P55,28,52.668,-146,2002-03-19T08:40:00+00:00,4000,POM,5,2000,yes,-25.64,114.05,NA,2.43,22.28,NA
P56,29,51.667,-146,2003-03-18T16:45:00+00:00,4000,POM,5,2000,no,-23.88,129.16,NA,1.24,18,Precision decreases for samples containing less than 20ugN
P57,29,51.667,-146,2003-03-18T16:45:00+00:00,4000,POM,5,2000,yes,-26.25,126.97,NA,1.6,39.48,NA
P58,30,50.667,-146,2003-03-19T01:05:00+00:00,3700,POM,5,2000,no,-23.67,135.79,NA,1.39,38.54,NA
P59,30,50.667,-146,2003-03-19T01:05:00+00:00,3700,POM,5,2000,yes,-25.61,120.21,NA,1.29,34.03,NA
P60,31,49.667,-146,2003-03-19T08:50:00+00:00,4500,POM,5,2000,no,-23.13,151.62,NA,1.03,22.19,NA
P61,31,49.667,-146,2003-03-19T08:50:00+00:00,4500,POM,5,2000,yes,-25.75,129.94,NA,1.01,41.61,NA
P62,32,48.667,-146,2004-03-18T17:35:00+00:00,4500,POM,5,2000,no,-24.71,170.13,NA,1.55,44.39,NA
P63,32,48.667,-146,2004-03-18T17:35:00+00:00,4500,POM,5,2000,yes,-25.54,158.43,NA,1.17,44.24,NA
P64,33,48.667,-144.5,2004-03-19T01:45:00+00:00,4000,POM,5,2000,no,-23.22,168.91,NA,1.97,29.87,NA
P65,33,48.667,-144.5,2004-03-19T01:45:00+00:00,4000,POM,5,2000,yes,-24.97,160.33,NA,1.12,36.86,NA
P66,34,49.667,-144.5,2004-03-19T09:45:00+00:00,4000,POM,5,2000,no,-23.32,199.75,NA,1.83,45.7,NA
P67,34,49.667,-144.5,2004-03-19T09:45:00+00:00,4000,POM,5,2000,yes,-25.21,165.57,NA,1.82,35.96,NA
P68,35,50.668,-144.507,2005-03-18T18:17:00+00:00,4170,POM,5,2000,no,-24.03,160.64,NA,2.22,26.24,NA
P69,35,50.668,-144.507,2005-03-18T18:17:00+00:00,4170,POM,5,2000,yes,-25.5,147.44,NA,2.55,39.72,NA
P70,36,51.667,-144.5,2005-03-19T02:25:00+00:00,4000,POM,5,2000,no,-24.21,169.58,NA,1.46,51.27,NA
P71,36,51.667,-144.5,2005-03-19T02:25:00+00:00,4000,POM,5,2000,yes,-25.87,180.49,NA,2.12,36.13,NA
P72,37,52.667,-144.5,2005-03-19T10:15:00+00:00,4000,POM,5,2000,no,-24.65,168.64,NA,2.69,34.39,NA
P73,37,52.667,-144.5,2005-03-19T10:15:00+00:00,4000,POM,5,2000,yes,-25.55,151.07,NA,2.13,35.69,NA
P74,38,53.667,-144.5,2006-03-18T18:05:00+00:00,2800,POM,5,2000,no,-25.06,152.68,NA,2.48,34.42,NA
P75,38,53.667,-144.5,2006-03-18T18:05:00+00:00,2800,POM,5,2000,yes,-25.72,140.4,NA,2.58,28.88,NA
P76,39,54.667,-144.5,2006-03-19T02:10:00+00:00,4000,POM,5,2000,no,-25.76,136.94,NA,2.39,30.17,NA
P77,39,54.667,-144.5,2006-03-19T02:10:00+00:00,4000,POM,5,2000,yes,-26.38,139.78,NA,2.17,26.73,NA
P78,40,54.667,-143,2006-03-19T09:10:00+00:00,3900,POM,5,2000,no,-25.34,167.21,NA,2.84,23.99,NA
P79,40,54.667,-143,2006-03-19T09:10:00+00:00,3900,POM,5,2000,yes,-26.17,170.45,NA,1.83,23.54,NA
P80,41,53.667,-143,2007-03-18T17:15:00+00:00,3900,POM,5,2000,no,-25.22,156.51,NA,2.72,36.76,NA
P81,41,53.667,-143,2007-03-18T17:15:00+00:00,3900,POM,5,2000,yes,-26.63,157.36,NA,3.18,29.8,NA
P82,42,52.667,-143,2007-03-19T01:10:00+00:00,3850,POM,5,2000,no,-25.26,162.85,NA,4.27,23.9,NA
P83,42,52.667,-143,2007-03-19T01:10:00+00:00,3850,POM,5,2000,yes,-25.94,154.16,NA,3.87,23.95,NA
P84,43,51.667,-143.003,2007-03-19T09:23:00+00:00,3900,POM,5,2000,no,-25.07,186.28,NA,2.07,48.51,NA
P85,43,51.667,-143.003,2007-03-19T09:23:00+00:00,3900,POM,5,2000,yes,-25.77,168.29,NA,2.37,30.94,NA
P86,44,50.667,-143,2008-03-18T17:58:00+00:00,4000,POM,5,2000,no,-23.07,186.77,NA,2.61,28.51,NA
P87,44,50.667,-143,2008-03-18T17:58:00+00:00,4000,POM,5,2000,yes,-25.17,173.06,NA,2.76,32.1,NA
P88,45,49.667,-142.999,2008-03-19T02:35:00+00:00,4200,POM,5,2000,no,-24.47,187.2,NA,2.83,33.28,NA
P89,45,49.667,-142.999,2008-03-19T02:35:00+00:00,4200,POM,5,2000,yes,-26.02,214.85,NA,2.45,34.46,NA
P90,46,48.667,-142.997,2009-03-18T12:19:00+00:00,4300,POM,5,2000,no,-24.89,195.75,NA,2.77,26.72,NA
P91,46,48.667,-142.997,2009-03-18T12:19:00+00:00,4300,POM,5,2000,yes,-25.6,179.02,NA,2.95,34.3,NA
P92,47,48.667,-141.501,2009-03-18T20:30:00+00:00,4200,POM,5,2000,no,-24.31,163.23,NA,3.02,22.72,NA
P93,47,48.667,-141.501,2009-03-18T20:30:00+00:00,4200,POM,5,2000,yes,-25.37,131.21,NA,3.02,30.84,NA
P94,48,49.667,-141.5,2009-03-19T05:50:00+00:00,4000,POM,5,2000,no,-24.07,201.78,NA,2.4,30.38,NA
P95,48,49.667,-141.5,2009-03-19T05:50:00+00:00,4000,POM,5,2000,yes,-25.65,168.08,NA,2.5,42.71,NA
P96,49,50.666,-141.499,2010-03-18T14:20:00+00:00,3900,POM,5,2000,no,-24.66,151.32,NA,3.44,34.92,NA
P97,49,50.666,-141.499,2010-03-18T14:20:00+00:00,3900,POM,5,2000,yes,-25.53,134.01,NA,2.49,46,NA
P98,50,51.665,-141.498,2010-03-18T22:51:00+00:00,3600,POM,5,2000,no,-24.88,150.64,NA,4,23.95,NA
P99,50,51.665,-141.498,2010-03-18T22:51:00+00:00,3600,POM,5,2000,yes,-25.72,149.05,NA,2.7,44.24,NA
P100,51,52.667,-141.5,2010-03-19T06:55:00+00:00,3800,POM,5,2000,no,-24.97,175.98,NA,2.75,39.09,NA
P101,51,52.667,-141.5,2010-03-19T06:55:00+00:00,3800,POM,5,2000,yes,-25.8,176.2,NA,2.56,41.91,NA
P102,52,53.666,-141.497,2011-03-18T16:02:00+00:00,3800,POM,5,2000,no,-25.32,138.85,NA,3.99,22.89,NA
P103,52,53.666,-141.497,2011-03-18T16:02:00+00:00,3800,POM,5,2000,yes,-26.08,138.4,NA,2.45,38.59,NA
P104,53,53.668,-140.001,2011-03-19T00:07:00+00:00,4600,POM,5,2000,no,-25.41,147.06,NA,3.09,35.52,NA
P105,53,53.668,-140.001,2011-03-19T00:07:00+00:00,4600,POM,5,2000,yes,-26.27,127.29,NA,3.09,27.84,NA
P106,54,52.667,-140,2011-03-19T12:20:00+00:00,3600,POM,5,2000,no,-25.13,125.22,NA,3,34.92,NA
P107,54,52.667,-140,2011-03-19T12:20:00+00:00,3600,POM,5,2000,yes,-25.79,124.45,NA,2.87,37.59,NA
P108,55,51.667,-140,2012-03-19T08:24:00+00:00,3800,POM,5,2000,no,-24.89,134.89,NA,3.25,32.2,NA
P109,55,51.667,-140,2012-03-19T08:24:00+00:00,3800,POM,5,2000,yes,-25.6,124.45,NA,3.57,21.57,NA
P110,56,50.667,-140,2013-03-18T15:50:00+00:00,3700,POM,5,2000,no,-25.2,114.32,NA,4.02,18.28,Precision decreases for samples containing less than 20ugN
P111,56,50.667,-140,2013-03-18T15:50:00+00:00,3700,POM,5,2000,yes,-25.69,102.22,NA,3.49,18.08,Precision decreases for samples containing less than 20ugN
P112,57,50.667,-138.5,2013-03-19T00:27:00+00:00,3220,POM,5,2000,no,-25.12,99.44,Precision decreases for samples containing less than 100ugC,3.79,25.4,NA
P113,57,50.667,-138.5,2013-03-19T00:27:00+00:00,3220,POM,5,2000,yes,-25.85,124.79,NA,3.56,25.03,NA
P114,58,49.664,-138.497,2014-03-18T18:08:00+00:00,3900,POM,5,2000,no,-24.87,112.64,NA,4.75,23.94,NA
P115,58,49.664,-138.497,2014-03-18T18:08:00+00:00,3900,POM,5,2000,yes,-25.78,111.42,NA,4.89,18.7,Precision decreases for samples containing less than 20ugN
P116,59,48.667,-138.5,2014-03-19T07:40:00+00:00,4050,POM,5,2000,no,-24.19,102.14,NA,3.93,26.55,NA
P117,59,48.667,-138.5,2014-03-19T07:40:00+00:00,4050,POM,5,2000,yes,-24.88,109.2,NA,3.44,19.59,Precision decreases for samples containing less than 20ugN
P118,60,48.666,-139.994,2015-03-18T15:59:00+00:00,3800,POM,5,2000,no,-25.05,96.56,Precision decreases for samples containing less than 100ugC,4.29,11.48,Precision decreases for samples containing less than 20ugN
P119,60,48.666,-139.994,2015-03-18T15:59:00+00:00,3800,POM,5,2000,yes,-26.13,95.58,Precision decreases for samples containing less than 100ugC,2.14,12.81,Precision decreases for samples containing less than 20ugN
